Condition ID,Description,Control,Time (min),PMID,Organism,Biological Sample,Labelling Type,Labelling Method,Spectrometer,Enrichment,Condition label,Total Sites In Atlas
1331_278,anti-CD3 + anti-CD28,Control,60.0,26546556,9606,JE6.1,chemical,TMT,LTQ Orbitrap XL,TiO2_IMAC,anti-CD3 + anti-CD28_60.00m,2323
1332_278,anti-CD3 + anti-CD28,Control,120.0,26546556,9606,JE6.1,chemical,TMT,LTQ Orbitrap XL,TiO2_IMAC,anti-CD3 + anti-CD28_120.00m,2323
1329_279,anti-CD3 + anti-CD28,Control,15.0,26546556,9606,Jgamma1,chemical,TMT,LTQ Orbitrap XL,TiO2_IMAC,anti-CD3 + anti-CD28_15.00m,2134
1330_279,anti-CD3 + anti-CD28,Control,30.0,26546556,9606,Jgamma1,chemical,TMT,LTQ Orbitrap XL,TiO2_IMAC,anti-CD3 + anti-CD28_30.00m,2134
1331_279,anti-CD3 + anti-CD28,Control,60.0,26546556,9606,Jgamma1,chemical,TMT,LTQ Orbitrap XL,TiO2_IMAC,anti-CD3 + anti-CD28_60.00m,2134
1332_279,anti-CD3 + anti-CD28,Control,120.0,26546556,9606,Jgamma1,chemical,TMT,LTQ Orbitrap XL,TiO2_IMAC,anti-CD3 + anti-CD28_120.00m,2134
1369_286,fulvestrant,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,fulvestrant_vs_DMSO,2297
1370_286,fulvestrant,captopril,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,fulvestrant_vs_captopril,2296
1371_286,captopril,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,captopril,2296
1372_286,clindamycin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,clindamycin_vs_DMSO,2288
1373_286,clindamycin,ambroxol,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,clindamycin_vs_ambroxol,2287
1374_286,ambroxol,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,ambroxol,2292
1375_286,chlortetracycline,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,chlortetracycline_vs_DMSO,2471
1376_286,chlortetracycline,paclitaxel,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,chlortetracycline_vs_paclitaxel,2471
1377_286,paclitaxel,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,paclitaxel,2477
1378_286,chlorzoxazone,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,chlorzoxazone_vs_DMSO,2308
